text,label
"Twenty-five MPAs-elect of the Khyber Pakhtunkhwa opposition were sworn into office...","Politics"
"Terrorist attack reported in Karachi, killing three people...","Terrorism"
"Local festival celebrated in Lahore with cultural events...","Other"
"Government announces new tax policy in Islamabad...","Politics"
"Bomb blast near Quetta market injures several...","Terrorism"
"Election commission reviews voting process in Peshawar...","Politics"
"Karachi hosts international trade fair...","Other"
"Militants attack checkpoint in Balochistan...","Terrorism"
"Parliament debates education reforms in Islamabad...","Politics"
"Charity event held in Multan to support flood victims...","Other"
